question_type,body_system,question_text,option_1,option_2,option_3,option_4,option_5,option_6,option_7
0,Skeletal,"What term matches the following definition?
  
  'a condition in which the body's bones become weak and break easily'",Osteoporosis,humer/o,femor/o,Humorus,,,
0,Skeletal,"What term matches the following definition?
  
  'connect muscle to bone'",Tendons,Bone Cancer,Functions of the Skeletal System (5),Rotation,,,
0,Skeletal,"What term matches the following definition?
  
  'chronic condition with widespread aching and pain in the muscles and fibrous soft tissue, this impacts bone health, posture, and joint stiffness'",Fibromyalgia,mandibul/o,maxill/o,pub/o,,,
0,Skeletal,"What term matches the following definition?
  
  'chronic condition with widespread aching and pain in the muscles and fibrous soft tissue, this impacts bone health, posture, and joint stiffness'",Fibromyalgia,Myasthenia Gravis,Osteoporosis,Bursa,,,
0,Skeletal,"What term matches the following definition?
  
  'turning the palm upward'",Supination,path/o,kyph/o,Fractures,,,
0,Skeletal,"What term matches the following definition?
  
  'cartilage'",chondr/o,Extension,Bursa,Rotation,,,
0,Skeletal,"What term matches the following definition?
  
  'circular movement of a limb at the far end'",Circumduction,Osteoporosis,lamin/o,spin/o,,,
0,Skeletal,"What term matches the following definition?
  
  'relating to head, neck, and trunk, the axis of the body'",Axial,ankyl/o,Humorus,Kyphosis,,,
0,Skeletal,"What term matches the following definition?
  
  'skin (subcutaneous)'",cutane/o,uln/o,orth/o,Metacarpals,,,
0,Skeletal,"What term matches the following definition?
  
  'increases the angle of a joint, straightening of a joint'",Extension,lamin/o,clavicul/o,spin/o,,,
0,Skeletal,"What term matches the following definition?
  
  'sternum'",stern/o,Radius,Supination,cortic/o,,,
0,Skeletal,"What term matches the following definition?
  
  'lower back'",lumb/o,myel/o,arthr/o,ili/o,,,
0,Skeletal,"What term matches the following definition?
  
  'lower jaw, mandible'",mandibul/o,pod/o,Cartilage,Rheumatoid Arthritis,,,
0,Skeletal,"What term matches the following definition?
  
  'inner and larger bone of the forearm, attached to the wrist and located on the side of the little finger'",Ulna,path/o,thorac/o,cortic/o,,,
0,Skeletal,"What term matches the following definition?
  
  'connect muscle to bone'",Tendons,Kyphosis,Pelvis,medial rotation,,,
0,Skeletal,"What term matches the following definition?
  
  'chest'",thorac/o,Kyphosis,Adduction,Meniscus,,,
0,Skeletal,"What term matches the following definition?
  
  'bones of the fingers AND toes'",Phalanges,cervic/o,sacr/o,ili/o,,,
0,Skeletal,"What term matches the following definition?
  
  'pubis (anterior part of the pelvic bone)'",pub/o,mandibul/o,lumb/o,Cranium,,,
0,Skeletal,"What term matches the following definition?
  
  'crooked, bent (lateral curvature)'",scoli/o,ili/o,Myasthenia Gravis,Synovial fluid,,,
0,Skeletal,"What term matches the following definition?
  
  'sacrum'",sacr/o,Vertebral column,Arthritis,Rotation,,,
0,Skeletal,"What term matches the following definition?
  
  'autoimmune neuromuscular disorder characterized by weakness of voluntary muscles, commonly noticed in the eyes, this impacts bone health, posture, and joint stiffness'",Myasthenia Gravis,Osteoporosis,Lordosis,Elevation,,,
0,Skeletal,"What term matches the following definition?
  
  'lateral bone of the forearm, larger of the two forearm bones, on the thumb side'",Radius,Rheumatoid Arthritis,Bursa,pod/o,,,
0,Skeletal,"What term matches the following definition?
  
  'a physician who specializes in diagnosing and treating diseases and disorders involving the bones, joints, and muscles'",Orthopedic Surgeon,clavicul/o,X-rays,ped/o,,,
0,Skeletal,"What term matches the following definition?
  
  'chronic condition with widespread aching and pain in the muscles and fibrous soft tissue, this impacts bone health, posture, and joint stiffness'",Fibromyalgia,Flexion,Rheumatologist,Amphiarthrosis,,,
0,Skeletal,"What term matches the following definition?
  
  'relating to limbs and their attachments to the axis'",Appendicular,pod/o,Pronation,Tendons,,,
0,Muscular,"What term matches the following definition?
  
  'flexes thigh on hip'",Sartorius,ATP,extensors,do cardiac fibers relax?,,,
0,Muscular,"What term matches the following definition?
  
  'plantar flexion of foot'",Soleus,lactic acid,Brachialis,Trapezius,,,
0,Muscular,"What term matches the following definition?
  
  'wavelike contractions in smooth muscle tissue'",Peristalsis,cellular respiration,teres major,Elasticity,,,
0,Muscular,"What term matches the following definition?
  
  'extends, adducts, and medially rotates arm'",teres major,"when you are cold, why do your muscles shiver?",ATP,Muscles can only...,,,
0,Muscular,"What term matches the following definition?
  
  'ability to shorten when an adequate stimulus is received'",Contractility,Hamstrings,Muscle fatigue is caused by,rectus abdominis,,,
0,Muscular,"What term matches the following definition?
  
  'muscle fiber type that is oxygen dependent and can contract over long periods of time'",slow twitch muscle fibers,Excitability,Sternocleidomastoid,Adductors of thigh,,,
0,Muscular,"What term matches the following definition?
  
  'muscle that flexes the forearm; works together with the triceps brachii'",biceps brachii,fast twitch muscle fibers,gluteus medius,tibialis anterior,,,
0,Muscular,"What term matches the following definition?
  
  'rotates arm laterally'",Infraspinatus,lactic acid,latissimus dorsi,serratus anterior,,,
0,Muscular,"What term matches the following definition?
  
  'flexes elbow'",Brachialis,tensor fasciae latae,creatine phosphate,lactic acid,,,
0,Muscular,"What term matches the following definition?
  
  'raises scapula, found in back'",Trapezius,do cardiac fibers relax?,extensors,Brachialis,,,
0,Muscular,"What term matches the following definition?
  
  'exhaustion of energy reserves and buildup of lactic acid levels'",Muscle fatigue is caused by,teres major,what bones attach to the sternocleidomastoid,Trapezius,,,
0,Muscular,"What term matches the following definition?
  
  '(definition missing from doc)'",extensors,flexors of the arm,what bones attach to the sternocleidomastoid,Brachialis,,,
0,Muscular,"What term matches the following definition?
  
  'bends ankle so foot is upward'",tibialis anterior,ATP,tensor fasciae latae,do cardiac fibers relax?,,,
0,Muscular,"What term matches the following definition?
  
  'no'",do cardiac fibers relax?,biceps brachii,lactic acid,Infraspinatus,,,
0,Muscular,"What term matches the following definition?
  
  'plantar flexion of foot'",Soleus,Trapezius,Hamstrings,slow twitch muscle fibers,,,
0,Muscular,"What term matches the following definition?
  
  'clavicle, sternum, mastoid process'",what bones attach to the sternocleidomastoid,slow twitch muscle fibers,gluteus maximus (glutes),Gastrocnemius,,,
0,Muscular,"What term matches the following definition?
  
  'exhaustion of energy reserves and buildup of lactic acid levels'",Muscle fatigue is caused by,Bracioradialis,Soleus,Peristalsis,,,
0,Muscular,"What term matches the following definition?
  
  'back muscle; extends and adducts humerus'",latissimus dorsi,biceps brachii,what bones attach to the sternocleidomastoid,smooth muscle,,,
0,Muscular,"What term matches the following definition?
  
  'no'",do cardiac fibers relax?,Sartorius,Functions of muscular system,what bones attach to the sternocleidomastoid,,,
0,Muscular,"What term matches the following definition?
  
  'exhaustion of energy reserves and buildup of lactic acid levels'",Muscle fatigue is caused by,triceps brachii,"when you are cold, why do your muscles shiver?",external oblique,,,
0,Muscular,"What term matches the following definition?
  
  'wavelike contractions in smooth muscle tissue'",Peristalsis,creatine phosphate,Brachialis,serratus anterior,,,
0,Muscular,"What term matches the following definition?
  
  'pull not push'",Muscles can only...,external oblique,rectus abdominis,extensors,,,
0,Muscular,"What term matches the following definition?
  
  '(definition missing from doc)'",flexors of the arm,Soleus,Elasticity,Functions of muscular system,,,
0,Muscular,"What term matches the following definition?
  
  'clavicle, sternum, mastoid process'",what bones attach to the sternocleidomastoid,rectus abdominis,Hamstrings,Elasticity,,,
0,Muscular,"What term matches the following definition?
  
  'the process by which cells use oxygen to produce energy from food; the pathway that slow twitch fibers prefer'",cellular respiration,slow twitch muscle fibers,Axons and muscle fibers,what bones attach to the sternocleidomastoid,,,
0,Muscular,"What term matches the following definition?
  
  'during high intensity exercise your body will break down carbohydrates into ATP, lactic acid is a by-product'",lactic acid,Muscle fatigue is caused by,what bones attach to the sternocleidomastoid,skeletal muscle,,,
0,Muscular,"What term matches the following definition?
  
  'the ability to be stretched or extended without tearing'",Extensibility,tensor fasciae latae,fast twitch muscle fibers,Bracioradialis,,,
0,Muscular,"What term matches the following definition?
  
  'stimulate many muscle fibers at once'",Axons and muscle fibers,Quadriceps,fast twitch muscle fibers,ATP,,,
0,Muscular,"What term matches the following definition?
  
  'raises scapula, found in back'",Trapezius,Muscle fiber,motor neurons,Muscle fatigue is caused by,,,
0,Muscular,"What term matches the following definition?
  
  'back muscle; extends and adducts humerus'",latissimus dorsi,triceps brachii,Sartorius,Brachialis,,,
0,Muscular,"What term matches the following definition?
  
  'during high intensity exercise your body will break down carbohydrates into ATP, lactic acid is a by-product'",lactic acid,extensors,serratus anterior,biceps brachii,,,
0,Muscular,"What term matches the following definition?
  
  'flexes elbow'",Brachialis,tibialis anterior,skeletal muscle,smooth muscle,,,
0,Muscular,"What term matches the following definition?
  
  'abducts thigh'",gluteus medius,Muscles can only...,Three types of muscle tissue,Trapezius,,,
0,Muscular,"What term matches the following definition?
  
  'stimulate many muscle fibers at once'",Axons and muscle fibers,what bones attach to the sternocleidomastoid,tibialis anterior,biceps brachii,,,
0,Muscular,"What term matches the following definition?
  
  'during high intensity exercise your body will break down carbohydrates into ATP, lactic acid is a by-product'",lactic acid,what bones attach to the sternocleidomastoid,Extensibility,Muscle fatigue is caused by,,,
0,Muscular,"What term matches the following definition?
  
  'flexes neck; rotates head'",Sternocleidomastoid,Gastrocnemius,Gracilis,triceps brachii,,,
0,Muscular,"What term matches the following definition?
  
  'raises scapula, found in back'",Trapezius,Sternocleidomastoid,motor neurons,triceps brachii,,,
0,Muscular,"What term matches the following definition?
  
  '(definition missing from doc)'",flexors of the arm,external oblique,Muscles can only...,Trapezius,,,
0,Muscular,"What term matches the following definition?
  
  'involuntary muscle tissue found only in the heart. Job is to pump blood'",cardiac muscle,triceps brachii,external oblique,"when you are cold, why do your muscles shiver?",,,
0,Muscular,"What term matches the following definition?
  
  'striated and voluntary muscle tissue attached to the skeleton. Job is voluntary movement and to create heat'",skeletal muscle,Muscle fiber,fast twitch muscle fibers,gluteus maximus (glutes),,,
0,Muscular,"What term matches the following definition?
  
  'no'",do cardiac fibers relax?,Infraspinatus,gluteus medius,gluteus maximus (glutes),,,
0,Muscular,"What term matches the following definition?
  
  '(definition missing from doc)'",flexors of the arm,cardiac muscle,slow twitch muscle fibers,Adductors of thigh,,,
0,Muscular,"What term matches the following definition?
  
  'clavicle, sternum, mastoid process'",what bones attach to the sternocleidomastoid,Bracioradialis,teres major,Muscle fatigue is caused by,,,
0,Muscular,"What term matches the following definition?
  
  'skeletal, cardiac, smooth'",Three types of muscle tissue,pectoralis major,Muscle fiber,Elasticity,,,
0,Muscular,"What term matches the following definition?
  
  'involuntary muscle found inside many internal organs of the body, no striations. Job is peristalsis (e.g., push food through intestines, contract for birth)'",smooth muscle,gluteus maximus (glutes),Contractility,Sartorius,,,
0,Muscular,"What term matches the following definition?
  
  'flexes neck; rotates head'",Sternocleidomastoid,Soleus,Bracioradialis,Peristalsis,,,
0,Muscular,"What term matches the following definition?
  
  'raises scapula, found in back'",Trapezius,smooth muscle,Infraspinatus,Hamstrings,,,
0,Muscular,"What term matches the following definition?
  
  'compresses abdomen/rotates trunk'",external oblique,latissimus dorsi,Functions of muscular system,biceps brachii,,,
0,Muscular,"What term matches the following definition?
  
  'shoulder muscle; abducts arm, is shaped like an inverted triangle'",Deltoid muscle,creatine phosphate,Muscles can only...,flexors of the arm,,,
0,Muscular,"What term matches the following definition?
  
  'plantar flexion of foot'",Soleus,Infraspinatus,Gastrocnemius,gluteus medius,,,
0,Circulatory,"What term matches the following definition?
  
  'the organs and tissues involved in circulating blood and lymph through the body'",circulatory system,aorta,valve,pulmonary circuit,,,
0,Circulatory,"What term matches the following definition?
  
  'iron-containing protein in red blood cells that carries oxygen for delivery to cells'",hemoglobin,pulmonary circuit,plasma,platelets,,,
0,Circulatory,"What term matches the following definition?
  
  'A blood vessel that carries blood back to the heart.'",vein,septum,plasma,systemic circuit,,,
0,Circulatory,"What term matches the following definition?
  
  'A flap of tissue in the heart that prevents blood from flowing backward.'",valve,platelets,ventricle,hemoglobin,,,
0,Circulatory,"What term matches the following definition?
  
  'one of two lower chambers of the heart'",ventricle,artery,plasma,hemoglobin,,,
0,Circulatory,"What term matches the following definition?
  
  'A flap of tissue in the heart that prevents blood from flowing backward.'",valve,vein,ventricle,septum,,,
0,Circulatory,"What term matches the following definition?
  
  'largest vein carrying deoxygenated blood into the heart'",vena cava,pulmonary circuit,heart,systemic circuit,,,
0,Circulatory,"What term matches the following definition?
  
  'the organs and tissues involved in circulating blood and lymph through the body'",circulatory system,valve,hemoglobin,stroke,,,
0,Circulatory,"What term matches the following definition?
  
  'A blood vessel that carries blood away from the heart'",artery,septum,systemic circuit,valve,,,
0,Circulatory,"What term matches the following definition?
  
  'iron-containing protein in red blood cells that carries oxygen for delivery to cells'",hemoglobin,circulatory system,capillaries,atrium,,,
0,Circulatory,"What term matches the following definition?
  
  'The largest artery in the body; receives blood from the left ventricle.'",aorta,stroke,pulmonary artery,valve,,,
0,Circulatory,"What term matches the following definition?
  
  'largest vein carrying deoxygenated blood into the heart'",vena cava,heart,capillaries,atrium,,,
0,Circulatory,"What term matches the following definition?
  
  'A flap of tissue in the heart that prevents blood from flowing backward.'",valve,capillaries,atrium,hypertension,,,
0,Circulatory,"What term matches the following definition?
  
  'Each of the two upper chambers of the heart that receives blood that comes into the heart'",atrium,pulmonary circuit,pulmonary artery,platelets,,,
0,Circulatory,"What term matches the following definition?
  
  'blood cells that fight infections'",white blood cells,pulmonary circuit,capillaries,hypertension,,,
0,Circulatory,"What term matches the following definition?
  
  'iron-containing protein in red blood cells that carries oxygen for delivery to cells'",hemoglobin,vena cava,circulatory system,platelets,,,
0,Circulatory,"What term matches the following definition?
  
  'the wall that divides the right and left chambers of the heart'",septum,heart,vena cava,stroke,,,
0,Circulatory,"What term matches the following definition?
  
  'largest vein carrying deoxygenated blood into the heart'",vena cava,red blood cells,pulmonary artery,ventricle,,,
0,Circulatory,"What term matches the following definition?
  
  'iron-containing protein in red blood cells that carries oxygen for delivery to cells'",hemoglobin,ventricle,pulmonary circuit,atrium,,,
0,Circulatory,"What term matches the following definition?
  
  'Damage to the brain from interruption of its blood supply.'",stroke,red blood cells,aorta,vena cava,,,
0,Circulatory,"What term matches the following definition?
  
  'A blood vessel that carries blood back to the heart.'",vein,platelets,heart,atrium,,,
0,Circulatory,"What term matches the following definition?
  
  'Each of the two upper chambers of the heart that receives blood that comes into the heart'",atrium,vein,valve,capillaries,,,
0,Circulatory,"What term matches the following definition?
  
  'the artery carrying blood from the right ventricle of the heart to the lungs for oxygenation.'",pulmonary artery,hypertension,septum,capillaries,,,
0,Circulatory,"What term matches the following definition?
  
  'carries blood to the lungs for gas exchange and returns it to the heart'",pulmonary circuit,hemoglobin,pulmonary artery,circulatory system,,,
0,Circulatory,"What term matches the following definition?
  
  'Blood cells that carry oxygen from the lungs to the body cells.'",red blood cells,stroke,systemic circuit,ventricle,,,
0,Circulatory,"What term matches the following definition?
  
  'A flap of tissue in the heart that prevents blood from flowing backward.'",valve,hypertension,red blood cells,vein,,,
0,Circulatory,"What term matches the following definition?
  
  'A blood vessel that carries blood away from the heart'",artery,pulmonary circuit,capillaries,aorta,,,
0,Circulatory,"What term matches the following definition?
  
  'one of two lower chambers of the heart'",ventricle,pulmonary circuit,red blood cells,vena cava,,,
0,Circulatory,"What term matches the following definition?
  
  'carries blood to the lungs for gas exchange and returns it to the heart'",pulmonary circuit,septum,systemic circuit,hemoglobin,,,
0,Circulatory,"What term matches the following definition?
  
  'Each of the two upper chambers of the heart that receives blood that comes into the heart'",atrium,capillaries,aorta,pulmonary artery,,,
0,Circulatory,"What term matches the following definition?
  
  'the wall that divides the right and left chambers of the heart'",septum,vena cava,vein,ventricle,,,
0,Circulatory,"What term matches the following definition?
  
  'The largest artery in the body; receives blood from the left ventricle.'",aorta,capillaries,vena cava,red blood cells,,,
0,Circulatory,"What term matches the following definition?
  
  'the wall that divides the right and left chambers of the heart'",septum,vein,artery,stroke,,,
0,Circulatory,"What term matches the following definition?
  
  'A hollow, muscular organ that pumps blood throughout the body.'",heart,systemic circuit,septum,atrium,,,
0,Circulatory,"What term matches the following definition?
  
  'iron-containing protein in red blood cells that carries oxygen for delivery to cells'",hemoglobin,atrium,plasma,systemic circuit,,,
0,Circulatory,"What term matches the following definition?
  
  'The smallest blood vessels, and the site of exchange of gases and waste between the blood and cells'",capillaries,platelets,red blood cells,valve,,,
0,Circulatory,"What term matches the following definition?
  
  'the artery carrying blood from the right ventricle of the heart to the lungs for oxygenation.'",pulmonary artery,capillaries,stroke,platelets,,,
0,Circulatory,"What term matches the following definition?
  
  'largest vein carrying deoxygenated blood into the heart'",vena cava,aorta,pulmonary artery,white blood cells,,,
0,Circulatory,"What term matches the following definition?
  
  'Blood cells that carry oxygen from the lungs to the body cells.'",red blood cells,capillaries,pulmonary circuit,hypertension,,,
0,Circulatory,"What term matches the following definition?
  
  'A blood vessel that carries blood away from the heart'",artery,septum,vena cava,heart,,,
0,Circulatory,"What term matches the following definition?
  
  'the organs and tissues involved in circulating blood and lymph through the body'",circulatory system,ventricle,pulmonary circuit,stroke,,,
0,Circulatory,"What term matches the following definition?
  
  'The smallest blood vessels, and the site of exchange of gases and waste between the blood and cells'",capillaries,pulmonary artery,hemoglobin,pulmonary circuit,,,
0,Circulatory,"What term matches the following definition?
  
  'carries blood between the heart and the rest of the body'",systemic circuit,pulmonary circuit,white blood cells,ventricle,,,
0,Circulatory,"What term matches the following definition?
  
  'liquid portion of blood that carries nutrients throughout the body and also carries cell waste away'",plasma,septum,heart,pulmonary circuit,,,
0,Circulatory,"What term matches the following definition?
  
  'liquid portion of blood that carries nutrients throughout the body and also carries cell waste away'",plasma,pulmonary circuit,valve,red blood cells,,,
0,Circulatory,"What term matches the following definition?
  
  'Each of the two upper chambers of the heart that receives blood that comes into the heart'",atrium,circulatory system,artery,hemoglobin,,,
0,Circulatory,"What term matches the following definition?
  
  'high blood pressure'",hypertension,heart,pulmonary artery,white blood cells,,,
0,Circulatory,"What term matches the following definition?
  
  'Damage to the brain from interruption of its blood supply.'",stroke,red blood cells,platelets,white blood cells,,,
0,Circulatory,"What term matches the following definition?
  
  'iron-containing protein in red blood cells that carries oxygen for delivery to cells'",hemoglobin,platelets,artery,white blood cells,,,
0,Circulatory,"What term matches the following definition?
  
  'the artery carrying blood from the right ventricle of the heart to the lungs for oxygenation.'",pulmonary artery,platelets,heart,systemic circuit,,,
0,Digestive,"What term matches the following definition?
  
  'salivary glands, liver, gallbladder, pancreas'",Accessory Organs,Laryngopharynx,Peristalsis,Bolus,,,
0,Digestive,"What term matches the following definition?
  
  'carries enzymes from pancreas to duodenum'",Pancreatic Duct,Microvilli,Stenson's Duct,Bile Duct,,,
0,Digestive,"What term matches the following definition?
  
  'receives food, begins mechanical and chemical digestion'",Mouth,Vermiform Appendix,Liver,Laryngopharynx,,,
0,Digestive,"What term matches the following definition?
  
  'breaks down carbohydrates'",Pancreatic Amylase,Oropharynx,Pylorus,Common Hepatic Duct,,,
0,Digestive,"What term matches the following definition?
  
  'opening for bile and enzymes into duodenum'",Duodenal Papillae,Body (stomach),Alimentary Canal Characteristics,Pancreatic Lipase,,,
0,Digestive,"What term matches the following definition?
  
  'leads to the esophagus'",Laryngopharynx,Amylase,Descending Colon,Plicae,,,
0,Digestive,"What term matches the following definition?
  
  'main site of nutrient absorption and enzymatic digestion; about 7 meters long'",Small Intestine,Jejunum,Sublingual Gland,Accessory Organs,,,
0,Digestive,"What term matches the following definition?
  
  'largest salivary gland, located near ears'",Parotid Gland,Esophageal Hiatus,Submandibular Gland,Submucosa,,,
0,Digestive,"What term matches the following definition?
  
  'connects to the large intestine at the ileocecal valve'",Ileum,Lingual Frenulum,Ascending Colon,Alimentary Canal Characteristics,,,
0,Digestive,"What term matches the following definition?
  
  'air passageway above soft palate'",Nasopharynx,Gastric Juices,Bile,Alimentary Canal Characteristics,,,
0,Digestive,"What term matches the following definition?
  
  'duct of submandibular gland'",Wharton's Duct,Stenson's Duct,Gallbladder,Liver Functions,,,
0,Digestive,"What term matches the following definition?
  
  '~8 meters long, muscular, open at both ends, same wall structure throughout'",Alimentary Canal Characteristics,Appendix,Tongue,Palate,,,
0,Digestive,"What term matches the following definition?
  
  'roof of the mouth; prevents choking'",Palate,Chemical Digestion,Alimentary Canal,Pepsin,,,
0,Digestive,"What term matches the following definition?
  
  'muscle layer responsible for movement and mixing'",Muscularis,Rectum,Body (stomach),Gallbladder,,,
0,Digestive,"What term matches the following definition?
  
  'lower region ending in pyloric sphincter'",Pylorus,Digestion,Liver Functions,Digestive System,,,
0,Digestive,"What term matches the following definition?
  
  'thin, watery fluid for lubrication'",Serous Fluid,Uvula,Anus,Muscularis,,,
0,Digestive,"What term matches the following definition?
  
  'travels upward from cecum'",Ascending Colon,Mechanical Digestion,Small Intestine,Ileum,,,
0,Digestive,"What term matches the following definition?
  
  'carries enzymes from pancreas to duodenum'",Pancreatic Duct,Liver,Layers of Alimentary Canal,Digestive Enzymes,,,
0,Digestive,"What term matches the following definition?
  
  'suspends small intestines from abdominal wall'",Mesentery,Pylorus,Large Intestine,Chyme,,,
0,Digestive,"What term matches the following definition?
  
  'C-shaped first part of the small intestine; primary site of chemical digestion'",Duodenum,Uvula,Pancreatic Lipase,Layers of Alimentary Canal,,,
0,Digestive,"What term matches the following definition?
  
  'contains enzymes and bicarbonate to neutralize stomach acid'",Pancreatic Juice,Ascending Colon,Alimentary Canal,Fundus,,,
0,Digestive,"What term matches the following definition?
  
  'partially digested, semiliquid food mixed with digestive enzymes and acids in the stomach'",Chyme,Muscularis,Tongue,Palate,,,
0,Digestive,"What term matches the following definition?
  
  'intake of food from the environment into the alimentary canal'",Ingestion,Pancreatic Amylase,Amylase,Duodenum,,,
0,Digestive,"What term matches the following definition?
  
  'salivary glands, liver, gallbladder, pancreas'",Accessory Organs,Pancreatic Duct,Stomach,Pancreas,,,
0,Digestive,"What term matches the following definition?
  
  'mucosa, submucosa, muscularis, serosa'",Layers of Alimentary Canal,Teeth,Pancreatic Duct,Hepatic,,,
0,Digestive,"What term matches the following definition?
  
  'enzymes that digest proteins'","Trypsin, Chymotrypsin, Carboxypeptidase",Esophagus,Mucosa,Mechanical Digestion,,,
0,Digestive,"What term matches the following definition?
  
  'salivary glands, liver, gallbladder, pancreas'",Accessory Organs,Appendix,Defecation,Hepatic,,,
0,Digestive,"What term matches the following definition?
  
  'leads to the esophagus'",Laryngopharynx,Body (stomach),Ileum,Pepsinogen,,,
0,Digestive,"What term matches the following definition?
  
  'passage for food and air behind the mouth'",Oropharynx,Large Intestine,HCl,Layers of Alimentary Canal,,,
0,Digestive,"What term matches the following definition?
  
  'lower region ending in pyloric sphincter'",Pylorus,Bile Duct,Liver Functions,Stenson's Duct,,,
0,Digestive,"What term matches the following definition?
  
  'related to the liver'",Hepatic,Stomach Functions,Stenson's Duct,Peristalsis,,,
0,Digestive,"What term matches the following definition?
  
  'opening for bile and enzymes into duodenum'",Duodenal Papillae,Layers of Alimentary Canal,Bile,Pylorus,,,
0,Digestive,"What term matches the following definition?
  
  'secretes acid/enzymes and begins digestion of proteins'",Stomach,Pharynx,Mouth,Pepsinogen,,,
0,Digestive,"What term matches the following definition?
  
  'produces bile to emulsify fats'",Liver,Layers of Alimentary Canal,Pepsinogen,Ingestion,,,
0,Digestive,"What term matches the following definition?
  
  'enzymes that digest proteins'","Trypsin, Chymotrypsin, Carboxypeptidase",Small Intestine,Accessory Organs,Nasopharynx,,,
0,Digestive,"What term matches the following definition?
  
  'connective tissue with blood vessels and nerves'",Submucosa,Absorption,Pancreatic Juice,Mesentery,,,
0,Digestive,"What term matches the following definition?
  
  'muscle layer responsible for movement and mixing'",Muscularis,Lingual Frenulum,Chyme,Body (stomach),,,
0,Digestive,"What term matches the following definition?
  
  'smallest salivary gland, opens into the floor of the mouth'",Sublingual Gland,Uvula,Pancreatic Duct,Parotid Gland,,,
0,Digestive,"What term matches the following definition?
  
  'the process by which nutrient molecules pass through the wall of the digestive system into the blood'",Absorption,Oropharynx,Large Intestine,Submandibular Gland,,,
0,Digestive,"What term matches the following definition?
  
  'related to the liver'",Hepatic,Ingestion,Salivary Glands,Pancreatic Amylase,,,
0,Digestive,"What term matches the following definition?
  
  'passage for food and air behind the mouth'",Oropharynx,Tongue,Digestive Enzymes,Wharton's Duct,,,
